,Age,Days on Site,Listed By,Lot Size,MLS®#,Size,Style,Taxes,Type,Walk Score,address,city,hoot,price,Business Type,Property Type,Zoning,Photo file,Photo url
342,No Data,"12 (Jan 22, 2020)","Forest Hill Real Estate Inc., Brokerage",33.00 x 100 Feet,C4673574,No Data,Bungalow,"$6,355 /yr",Detached,76,34 Westover Hill Road,Toronto,Humewood-cedarvale,"$1,499,000 ",,,,,
343,No Data,"12 (Jan 22, 2020)","Re/max Professionals Inc., Brokerage",79.99 x 120 Feet,W4673425,1500-2000 sqft,Bungalow,"$6,899 /yr",Detached,11,38 Blair Athol Crescent,Toronto,Princess-rosethorn,"$1,679,000 ",,,,,
344,51-99 years,"12 (Jan 22, 2020)","Sotheby`s International Realty Canada, Brokerage",45.00 x 122.5 Feet,W4673327,1500-2000 sqft,Bungalow,"$4,542 /yr",Detached,37,21 Vanguard Drive,Toronto,Islington-city Centre West,"$1,299,000 ",,,,,
345,No Data,"12 (Jan 22, 2020)","Jdl Realty Inc., Brokerage",38.60 x 118.87 Feet,C4673299,2500-3000 sqft,Backsplit 4,"$8,979 /yr",Detached,18,14 Didrickson Drive,Toronto,St. Andrew-windfields,"$2,290,000 ",,,,,
346,New,"13 (Jan 21, 2020)","Psr, Brokerage",30.18 x 125 Feet,W4673207,2500-3000 sqft,2-Storey,"$3,349 /yr",Detached,52,190 Hillside Avenue,Toronto,Mimico,"$1,695,000 ",,,,,
347,No Data,"13 (Jan 21, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",29.00 x 124 Feet,C4673004,No Data,2-Storey,No Data,Detached,82,1 Randolph Road,Toronto,Leaside,"$2,795,000 ",,,,,
348,No Data,"13 (Jan 21, 2020)","Forest Hill Real Estate Inc., Brokerage",56.89 x 107.7 Feet,C4673001,No Data,2-Storey,"$9,092 /yr",Detached,38,7 Tofino Crescent,Toronto,Banbury-don Mills,"$2,089,000 ",,,,,
349,51-99 years,"13 (Jan 21, 2020)","Re/max Premier Inc., Brokerage",100.00 x 190 Feet,C4672880,No Data,1 1/2 Storey,"$8,293 /yr",Detached,33,2686 Bayview Avenue,Toronto,St. Andrew-windfields,"$5,100,000 ",,,,,
350,No Data,"13 (Jan 21, 2020)","Re/max Hallmark Realty Ltd., Brokerage",37.50 x 149.44 Feet,C4672843,No Data,2-Storey,"$12,314 /yr",Detached,63,577 Old Orchard Grove,Toronto,Bedford Park-nortown,"$2,699,999 ",,,,,
351,No Data,"13 (Jan 21, 2020)","Re/max Centerpoint Realty, Brokerage",66.74 x 111.72 Feet,C4672804,No Data,2-Storey,"$6,435 /yr",Detached,36,15 Gemini Road,Toronto,Bayview Woods-steeles,"$1,999,000 ",,,,,
352,No Data,"13 (Jan 21, 2020)","Re/max Hallmark Realty Ltd., Brokerage",25.00 x 120 Feet,C4672800,No Data,2-Storey,"$7,801 /yr",Detached,81,23 Mcnairn Avenue,Toronto,Lawrence Park North,"$1,698,800 ",,,,,
353,6-15 years,"13 (Jan 21, 2020)","Maple Life Realty Inc., Brokerage",50.00 x 130 Feet,C4672793,3500-5000 sqft,2-Storey,"$12,320 /yr",Detached,84,102 Hollywood Avenue,Toronto,Willowdale East,"$3,480,000 ",,,,,
354,No Data,"13 (Jan 21, 2020)","Re/max West Realty Inc., Brokerage",48.85 x 119.45 Feet,W4672775,No Data,Bungalow,"$3,612 /yr",Detached,62,404 Renforth Drive,Toronto,Eringate-centennial-west Deane,"$949,900 ",,,,,
355,16-30 years,"13 (Jan 21, 2020)","Re/max Hallmark Realty Ltd., Brokerage",40.00 x 120 Feet,C4672722,3000-3500 sqft,2-Storey,"$12,547 /yr",Detached,75,627 Bedford Park Avenue,Toronto,Bedford Park-nortown,"$2,688,800 ",,,,,
356,No Data,"13 (Jan 21, 2020)","Homelife New World Realty Inc., Brokerage",40.00 x 101.65 Feet,E4672688,No Data,2-Storey,"$3,968 /yr",Detached,58,9 Haven Hill Square,Toronto,Agincourt North,"$799,000 ",,,,,
357,No Data,"13 (Jan 21, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",31.00 x 110 Feet,C4672633,No Data,3-Storey,"$11,695 /yr",Detached,52,44 Summerhill Gardens,Toronto,Rosedale-moore Park,"$2,550,000 ",,,,,
358,No Data,"13 (Jan 21, 2020)","Right At Home Realty Inc., Brokerage",52.57 x 115.2 Feet,C4672627,No Data,2-Storey,"$8,694 /yr",Detached,28,29 Charnwood Road,Toronto,Banbury-don Mills,"$2,288,000 ",,,,,
359,No Data,"13 (Jan 21, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",31.00 x 110 Feet,C4672633,No Data,3-Storey,"$11,695 /yr",Detached,52,44 Summerhill Gardens,Toronto,Rosedale-moore Park,"$2,550,000 ",,,,,
360,No Data,"13 (Jan 21, 2020)","Re/max Hallmark Realty Ltd., Brokerage",25.00 x 100 Feet,E4672504,No Data,2-Storey,"$4,681 /yr",Detached,56,13 Butterworth Avenue,Toronto,Oakridge,"$1,279,000 ",,,,,
361,51-99 years,"13 (Jan 21, 2020)","Royal Lepage Signature Realty, Brokerage",40.00 x 129.7 Feet,E4672490,1100-1500 sqft,Bungalow,"$3,232 /yr",Detached,42,5 Tardree Place,Toronto,Wexford-maryvale,"$699,000 ",,,,,
362,No Data,"13 (Jan 21, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",50.00 x 117.66 Feet,C4672479,No Data,2-Storey,"$11,836 /yr",Detached,75,143 Burnett Avenue,Toronto,Lansing-westgate,"$2,698,000 ",,,,,
363,51-99 years,"13 (Jan 21, 2020)","Royal Lepage Signature Realty, Brokerage",55.00 x 109.93 Feet,C4672440,No Data,Sidesplit 4,"$5,143 /yr",Detached,57,30 Fairhill Crescent,Toronto,Parkwoods-donalda,"$1,240,000 ",,,,,
364,No Data,"1 (Feb 3, 2020)","Re/max Hallmark Realty Ltd., Brokerage",60.00 x 104.91 Feet,C4682286,No Data,2-Storey,"$5,718 /yr",Detached,54,5 Averdon Crescent,Toronto,Parkwoods-donalda,"$1,395,000 ",,,,,
365,No Data,"13 (Jan 20, 2020)","Dream Home Realty Inc., Brokerage",25.50 x 106.27 Feet,W4672349,No Data,2-Storey,"$4,143 /yr",Detached,78,2 Ypres Road,Toronto,Keelesdale-eglinton West,"$970,000 ",,,,,
366,No Data,"13 (Jan 20, 2020)","Jdl Realty Inc., Brokerage",40.00 x 125 Feet,C4672359,No Data,Bungalow,"$4,614 /yr",Detached,72,15 Charleswood Drive,Toronto,Clanton Park,"$1,488,000 ",,,,,
367,No Data,"14 (Jan 20, 2020)","Century 21 People`s Choice Realty Inc., Brokerage",49.98 x 120.14 Feet,W4672324,3000-3500 sqft,2-Storey,"$8,400 /yr",Detached,61,47 William Cragg Drive,Toronto,Downsview-roding-cfb,"$1,599,900 ",,,,,
368,No Data,"14 (Jan 20, 2020)","Kamali Group Realty, Brokerage",40.06 x 110 Feet,C4672121,No Data,2-Storey,No Data,Detached,71,119 Poyntz Avenue,Toronto,Lansing-westgate,"$2,699,000 ",,,,,
369,No Data,"14 (Jan 20, 2020)","Re/max Realtron Realty Inc., Brokerage",50.00 x 120 Feet,C4671963,No Data,Backsplit 4,"$4,824 /yr",Detached,53,92 Mcnicoll Avenue,Toronto,Hillcrest Village,"$998,000 ",,,,,
370,No Data,"14 (Jan 20, 2020)","Jdl Realty Inc., Brokerage",63.17 x 125 Feet,C4671934,No Data,1 1/2 Storey,"$5,163 /yr",Detached,45,54 Dromore Crescent,Toronto,Newtonbrook West,"$1,280,000 ",,,,,
371,No Data,"14 (Jan 20, 2020)","Re/max Hallmark Joy Verde Group Realty, Brokerage",50.00 x 139.37 Feet,C4671911,2500-3000 sqft,2-Storey,"$8,272 /yr",Detached,36,263 Lawrence Avenue,Toronto,Bridle Path-sunnybrook-york Mills,"$1,925,000 ",,,,,
372,100 years,"14 (Jan 20, 2020)","Accsell Realty Inc., Brokerage",22.25 x 95 Feet,W4671879,700-1100 sqft,Bungalow,"$4,205 /yr",Detached,39,63 Methuen Avenue,Toronto,Lambton Baby Point,"$866,999 ",,,,,
373,0-5 years,"14 (Jan 20, 2020)","Re/max West Realty Inc., Brokerage",50.00 x 222 Feet,E4671796,3000-3500 sqft,2-Storey,"$6,527 /yr",Detached,35,375 Beechgrove Drive,Toronto,West Hill,"$1,629,000 ",,,,,
374,0-5 years,"14 (Jan 20, 2020)","Re/max Realtron Realty Inc., Brokerage",60.00 x 125 Feet,C4671786,3500-5000 sqft,2-Storey,"$13,674 /yr",Detached,18,25 Lloydminster Crescent,Toronto,Newtonbrook East,"$2,998,000 ",,,,,
375,No Data,"14 (Jan 20, 2020)","Ellicott Realty Inc., Brokerage",57.00 x 132 Feet,W4671708,No Data,Bungalow,"$4,857 /yr",Detached,70,20 Pleasant Home Boulevard,Toronto,Downsview-roding-cfb,"$999,888 ",,,,,
376,No Data,"14 (Jan 20, 2020)","Re/max Realtron Realty Inc., Brokerage",50.00 x 217 Feet,C4671699,3500-5000 sqft,2-Storey,"$11,407 /yr",Detached,45,116 Wedgewood Drive,Toronto,Newtonbrook East,"$2,990,000 ",,,,,
377,No Data,"14 (Jan 20, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",40.00 x 90 Feet,C4671674,No Data,1 1/2 Storey,"$9,758 /yr",Detached,35,6 Haddington Avenue,Toronto,Bedford Park-nortown,"$2,449,000 ",,,,,
378,New,"14 (Jan 20, 2020)","Soltanian Real Estate Inc., Brokerage",43.67 x 120 Feet,C4671671,3000-3500 sqft,2-Storey,"$7,008 /yr",Detached,64,1 Stuart Avenue,Toronto,Lansing-westgate,"$2,200,000 ",,,,,
379,No Data,"14 (Jan 20, 2020)","Re/max Professionals Inc., Brokerage",50.00 x 150 Feet,W4671663,2500-3000 sqft,2-Storey,"$7,894 /yr",Detached,38,162 Allanhurst Drive,Toronto,Edenbridge-humber Valley,"$1,749,900 ",,,,,
380,No Data,"14 (Jan 20, 2020)","Re/max Hallmark Realty Ltd., Brokerage",40.50 x 108 Feet,E4671636,No Data,Backsplit 3,"$3,228 /yr",Detached,65,12 Longhouse Place,Toronto,Woburn,"$920,000 ",,,,,
381,No Data,"14 (Jan 20, 2020)","Keller Williams Energy Real Estate, Brokerage",77.00 x 175 Feet,E4671572,No Data,2-Storey,"$5,386 /yr",Detached,38,89 Hill Crescent,Toronto,Guildwood,"$3,799,900 ",,,,,
382,New,"14 (Jan 20, 2020)","Forest Hill Real Estate Inc., Brokerage",57.98 x 167.75 Feet,C4671659,3500-5000 sqft,1 1/2 Storey,"$6,833 /yr",Detached,17,11 Irvington Crescent,Toronto,Willowdale East,"$1,088,000 ",,,,,
383,16-30 years,"14 (Jan 20, 2020)","Rifo Realty Inc., Brokerage",71.19 x 135.08 Feet,C4671643,5000 sqft,2-Storey,"$14,243 /yr",Detached,22,61 Bowan Court,Toronto,Bayview Woods-steeles,"$2,880,000 ",,,,,
384,No Data,"14 (Jan 20, 2020)","Forest Hill Real Estate Inc., Brokerage",44.73 x 158.04 Feet,C4671585,No Data,2-Storey,"$11,547 /yr",Detached,51,19 Magpie Crescent,Toronto,St. Andrew-windfields,"$2,588,000 ",,,,,
385,No Data,"14 (Jan 20, 2020)","Forest Hill Real Estate Inc., Brokerage",60.00 x 125 Feet,C4671496,No Data,2-Storey,"$8,573 /yr",Detached,32,36 Garnier Court,Toronto,Bayview Woods-steeles,"$1,888,000 ",,,,,
386,No Data,"14 (Jan 20, 2020)","Royal Lepage Signature Realty Erica Reddy, Brokerage",28.51 x 25.1 Feet,C4671485,2000-2500 sqft,3-Storey,"$7,906 /yr",Detached,91,8 Trefann Street,Toronto,Regent Park,"$2,250,000 ",,,,,
387,No Data,"14 (Jan 20, 2020)","Housesigma Inc., Brokerage",82.00 x 129.7 Feet,E4671410,No Data,2-Storey,"$5,158 /yr",Detached,47,34 Silver Spruce Drive,Toronto,L'amoreaux,"$1,399,000 ",,,,,
388,0-5 years,"15 (Jan 19, 2020)","Homelife Landmark Realty Inc., Brokerage",60.00 x 234 Feet,C4671355,5000 sqft,2-Storey,No Data,Detached,58,41 Broadleaf Road,Toronto,Banbury-don Mills,"$4,988,000 ",,,,,
389,No Data,"15 (Jan 19, 2020)","Century 21 Atria Realty Inc., Brokerage",50.00 x 142.34 Feet,C4671345,No Data,2-Storey,"$6,130 /yr",Detached,41,217 Finch Avenue,Toronto,Willowdale West,"$2,350,000 ",,,,,
390,No Data,"16 (Jan 18, 2020)","Re/max Ultimate Realty Inc., Brokerage",48.00 x 83.5 Feet,E4671006,No Data,Sidesplit 3,"$4,182 /yr",Detached,35,9 Munford Crescent,Toronto,O'connor-parkview,"$1,195,000 ",,,,,
391,6-15 years,"16 (Jan 18, 2020)","Century 21 Atria Realty Inc., Brokerage",60.00 x 125 Feet,E4670986,3000-3500 sqft,2-Storey,"$6,723 /yr",Detached,63,138 Earlton Road,Toronto,Tam O'shanter-sullivan,"$1,618,000 ",,,,,
392,0-5 years,"16 (Jan 18, 2020)","Homelife Landmark Realty Inc., Brokerage",50.00 x 145 Feet,C4670958,No Data,2-Storey,"$20,744 /yr",Detached,34,26 Beechwood Avenue,Toronto,Bridle Path-sunnybrook-york Mills,"$4,850,000 ",,,,,
393,No Data,"16 (Jan 17, 2020)","Master`s Trust Realty Inc., Brokerage",55.75 x 113 Feet,E4670951,No Data,2-Storey,"$4,140 /yr",Detached,38,56 Glendower Crescent,Toronto,L'amoreaux,"$1,099,900 ",,,,,
394,0-5 years,"16 (Jan 17, 2020)","Right At Home Realty Inc., Brokerage",70.00 x 123.4 Feet,C4670949,5000 sqft,2-Storey,No Data,Detached,29,27 George Henry Boulevard,Toronto,Henry Farm,"$4,500,000 ",,,,,
395,No Data,"17 (Jan 17, 2020)","Landstars 360 Realty Inc., Brokerage",50.00 x 126.5 Feet,C4670848,No Data,1 1/2 Storey,"$7,339 /yr",Detached,75,155 Empress Avenue,Toronto,Willowdale East,"$2,098,000 ",,,,,
396,No Data,"17 (Jan 17, 2020)","Re/max Realtron Realty Inc., Brokerage",50.00 x 131.83 Feet,C4670839,No Data,2-Storey,"$12,812 /yr",Detached,36,403 Hounslow Avenue,Toronto,Willowdale West,"$2,888,000 ",,,,,
397,No Data,"17 (Jan 17, 2020)","Royal Lepage Real Estate Services Nancy Saedi, Brokerage",82.32 x 113.16 Feet,C4670823,No Data,Sidesplit 4,"$9,500 /yr",Detached,25,8 Balding Court,Toronto,St. Andrew-windfields,"$2,180,000 ",,,,,
398,No Data,"17 (Jan 17, 2020)","Re/max Realtron Realty Inc., Brokerage",40.00 x 175 Feet,C4670794,No Data,2-Storey,"$9,778 /yr",Detached,78,141 Blythwood Road,Toronto,Mount Pleasant East,"$2,349,999 ",,,,,
399,No Data,"17 (Jan 17, 2020)","Ipro Realty Ltd., Brokerage",45.25 x 132 Feet,W4670623,No Data,Bungalow,"$4,394 /yr",Detached,53,41 Blaketon Road,Toronto,Islington-city Centre West,"$1,299,000 ",,,,,
400,0-5 years,"17 (Jan 17, 2020)","Forest Hill Real Estate Inc., Brokerage",50.00 x 130 Feet,C4670655,3500-5000 sqft,2-Storey,No Data,Detached,53,193 Johnston Avenue,Toronto,Lansing-westgate,"$3,288,000 ",,,,,
401,0-5 years,"17 (Jan 17, 2020)","Century 21 Parkland Ltd., Brokerage",50.00 x 114.52 Feet,E4670534,3000-3500 sqft,2-Storey,"$6,865 /yr",Detached,17,88 Torrance Road,Toronto,Eglinton East,"$1,550,000 ",,,,,
402,No Data,"17 (Jan 17, 2020)","Accsell Realty Inc., Brokerage",25.00 x 105.37 Feet,C4670530,No Data,2-Storey,"$4,013 /yr",Detached,60,197 Cedric Avenue,Toronto,Oakwood-vaughan,"$835,000 ",,,,,
403,No Data,"17 (Jan 17, 2020)","Sutton Group-associates Realty Inc., Brokerage",92.92 x 420 Feet,E4670471,No Data,Bungalow,"$10,050 /yr",Detached,14,125 Sylvan Avenue,Toronto,Scarborough Village,"$2,179,000 ",,,,,
404,0-5 years,"17 (Jan 17, 2020)","Mccann Realty Group Ltd., Brokerage",25.49 x 122 Feet,C4670452,2000-2500 sqft,2-Storey,"$9,886 /yr",Detached,81,298 Manor Road,Toronto,Mount Pleasant East,"$2,589,000 ",,,,,
405,No Data,"17 (Jan 17, 2020)","Main Street Realty Ltd., Brokerage",60.00 x 125 Feet,C4670435,No Data,Bungalow,"$5,647 /yr",Detached,48,153 Yorkview Drive,Toronto,Willowdale West,"$1,450,000 ",,,,,
406,No Data,"17 (Jan 17, 2020)","Slavens & Associates Real Estate Inc., Brokerage",188.12 x 146.75 Feet,C4670393,No Data,2-Storey,"$17,864 /yr",Detached,55,2 Bluejay Place,Toronto,Banbury-don Mills,"$4,499,000 ",,,,,
407,No Data,"17 (Jan 17, 2020)","Forest Hill Real Estate Inc., Brokerage",60.03 x 150 Feet,C4670266,3500-5000 sqft,2-Storey,"$7,101 /yr",Detached,39,12 Banstock Drive,Toronto,Bayview Woods-steeles,"$1,998,000 ",,,,,
408,No Data,"17 (Jan 17, 2020)","Right At Home Realty Inc., Brokerage",100.00 x 257 Feet,E4670159,No Data,2-Storey,"$5,106 /yr",Detached,16,312 Taylor Road,Toronto,Rouge E10,"$1,600,000 ",,,,,
409,No Data,"17 (Jan 17, 2020)","Century 21 Atria Realty Inc., Brokerage",30.00 x 110 Feet,E4670156,No Data,2-Storey,"$4,070 /yr",Detached,41,72 Captain Hall Court,Toronto,Milliken,"$998,000 ",,,,,
410,New,"17 (Jan 16, 2020)","Mccann Realty Group Ltd., Brokerage",50.00 x 125 Feet,C4670054,3500-5000 sqft,2-Storey,"$7,518 /yr",Detached,47,177 Golfdale Road,Toronto,Lawrence Park North,"$5,149,000 ",,,,,
411,No Data,"18 (Jan 16, 2020)","Superior Realty Point Inc., Brokerage",50.00 x 125.22 Feet,C4669996,2000-2500 sqft,2-Storey,"$6,350 /yr",Detached,27,7 Shaughnessy Boulevard,Toronto,Henry Farm,"$1,588,000 ",,,,,
412,No Data,"18 (Jan 16, 2020)","Re/max Realtron Eli Bakhtiari Team Realty, Brokerage",50.00 x 132 Feet,C4669962,No Data,2-Storey,"$13,932 /yr",Detached,43,497 Hounslow Avenue,Toronto,Willowdale West,"$2,648,000 ",,,,,
413,New,"18 (Jan 16, 2020)","Royal Lepage Flower City Realty, Brokerage",23.50 x 125 Feet,W4669922,No Data,3-Storey,No Data,Detached,25,31 Pendeen Avenue,Toronto,Rockcliffe-smythe,"$1,250,000 ",,,,,
414,New,"18 (Jan 16, 2020)","Royal Lepage Flower City Realty, Brokerage",23.75 x 125.17 Feet,W4669920,No Data,3-Storey,No Data,Detached,25,29 Pendeen Avenue,Toronto,Rockcliffe-smythe,"$1,250,000 ",,,,,
415,0-5 years,"18 (Jan 16, 2020)","Psr, Brokerage",25.00 x 125 Feet,W4669838,2500-3000 sqft,2-Storey,"$2,834 /yr",Detached,54,157 Hillside Avenue,Toronto,Mimico,"$1,650,000 ",,,,,
416,New,"18 (Jan 16, 2020)","Upperside Real Estate Limited, Brokerage",55.00 x 150 Feet,C4669893,3000-3500 sqft,2-Storey,"$15,000 /yr",Detached,73,562 Old Orchard Grove,Toronto,Bedford Park-nortown,"$3,900,000 ",,,,,
417,No Data,"18 (Jan 16, 2020)","Cityscape Real Estate Ltd., Brokerage",35.00 x 115 Feet,E4669753,2000-2500 sqft,2-Storey,"$5,394 /yr",Detached,63,210 Glenwood Crescent,Toronto,O'connor-parkview,"$1,747,000 ",,,,,
418,New,"18 (Jan 16, 2020)","Royal Lepage Signature Realty, Brokerage",60.00 x 125 Feet,C4669820,3500-5000 sqft,2-Storey,"$11,266 /yr",Detached,40,30 Citation Drive,Toronto,Bayview Village,"$4,430,000 ",,,,,
419,No Data,"18 (Jan 16, 2020)","Re/max Platinum Pin Realty, Brokerage",50.00 x 184.5 Feet,C4669765,No Data,3-Storey,"$12,386 /yr",Detached,35,52 Teddington Park Avenue,Toronto,Lawrence Park North,"$5,500,000 ",,,,,
420,No Data,"18 (Jan 16, 2020)","Chestnut Park Real Estate Limited, Brokerage",101.70 x 106.7 Feet,C4669729,No Data,Bungalow,"$11,049 /yr",Detached,68,2 Campbell Crescent,Toronto,Bridle Path-sunnybrook-york Mills,"$2,950,000 ",,,,,
421,No Data,"18 (Jan 16, 2020)","Psr, Brokerage",18.96 x 129.99 Feet,C4669696,No Data,3-Storey,"$7,816 /yr",Detached,60,598 Roselawn Avenue,Toronto,Forest Hill North,"$1,888,000 ",,,,,
422,No Data,"18 (Jan 16, 2020)","Royal Lepage Real Estate Services Ltd., Brokerage",33.58 x 78.83 Feet,C4669695,No Data,3-Storey,"$8,270 /yr",Detached,88,8 Lonsdale Road,Toronto,Yonge-st. Clair,"$2,495,000 ",,,,,
423,51-99 years,"18 (Jan 16, 2020)","Forest Hill Real Estate Inc., Brokerage",50.00 x 168.95 Feet,C4669690,No Data,2-Storey,"$6,374 /yr",Detached,18,38 Plymbridge Crescent,Toronto,Bridle Path-sunnybrook-york Mills,"$3,500,000 ",,,,,
424,New,"18 (Jan 16, 2020)","Homelife New World Realty Inc., Brokerage",42.00 x 232 Feet,C4669530,3500-5000 sqft,2-Storey,No Data,Detached,32,382 Ruth Avenue,Toronto,Newtonbrook East,"$2,828,800 ",,,,,
425,No Data,"18 (Jan 16, 2020)","Paul Zammit Real Estate Ltd., Brokerage",50.00 x 120.83 Feet,C4669391,2000-2500 sqft,Backsplit 4,"$5,650 /yr",Detached,51,11 Donnalyn Drive,Toronto,Newtonbrook West,"$1,499,000 ",,,,,
426,0-5 years,"18 (Jan 16, 2020)","Chestnut Park Real Estate Limited, Brokerage",68.43 x 146.41 Feet,C4669350,5000 sqft,3-Storey,"$35,310 /yr",Detached,37,47 Daneswood Road,Toronto,Bridle Path-sunnybrook-york Mills,"$10,500,000 ",,,,,
427,51-99 years,"18 (Jan 16, 2020)","Sotheby`s International Realty Canada, Brokerage",60.01 x 275 Feet,C4669331,5000 sqft,3-Storey,"$15,903 /yr",Detached,88,175 Lyndhurst Avenue,Toronto,Casa Loma,"$3,595,000 ",,,,,
428,No Data,"18 (Jan 16, 2020)","Royal Lepage Signature Realty, Brokerage",58.00 x 100 Feet,C4669251,No Data,Sidesplit 4,"$6,700 /yr",Detached,21,8 Knollview Crescent,Toronto,Bayview Village,"$2,288,888 ",,,,,
429,No Data,"18 (Jan 16, 2020)","Re/max Professionals Inc., Brokerage",100.06 x 459.4 Feet,W4669203,3500-5000 sqft,2-Storey,"$20,378 /yr",Detached,57,11 Ashley Park Road,Toronto,Edenbridge-humber Valley,"$4,198,000 ",,,,,
430,No Data,"19 (Jan 15, 2020)","Royal Lepage Grange Hall Realty, Brokerage",27.17 x 100 Feet,W4669049,No Data,2-Storey,"$2,696 /yr",Detached,86,521 Rogers Road,Toronto,Keelesdale-eglinton West,"$799,000 ",,,,,
431,51-99 years,"19 (Jan 15, 2020)","Right At Home Realty Inc., Brokerage",69.16 x 119.8 Feet,W4669015,No Data,Sidesplit 4,"$9,233 /yr",Detached,11,75 Prince George Drive,Toronto,Princess-rosethorn,"$2,365,000 ",,,,,
432,No Data,"19 (Jan 15, 2020)","Century 21 Heritage Group Ltd., Brokerage",30.00 x 230.79 Feet,W4668949,No Data,Bungalow,"$2,600 /yr",Detached,70,23 Rectory Road,Toronto,Weston,"$689,900 ",,,,,
433,No Data,"19 (Jan 15, 2020)","Forest Hill Real Estate Inc., Brokerage",52.00 x 177.09 Feet,C4668885,5000 sqft,2-Storey,"$13,123 /yr",Detached,25,1 Gardenia Court,Toronto,Newtonbrook West,"$3,288,000 ",,,,,
434,New,"19 (Jan 15, 2020)","Mccann Realty Group Ltd., Brokerage",34.00 x 105 Feet,C4668825,No Data,2-Storey,"$6,340 /yr",Detached,93,116 Belsize Drive,Toronto,Mount Pleasant West,"$3,149,000 ",,,,,
435,0-5 years,"19 (Jan 15, 2020)","Re/max Professionals Inc., Brokerage",64.01 x 195 Feet,W4668803,3500-5000 sqft,2-Storey,"$12,967 /yr",Detached,15,35 Rivercove Drive,Toronto,Islington-city Centre West,"$2,888,800 ",,,,,
436,No Data,"19 (Jan 15, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",66.50 x 125 Feet,W4668717,No Data,1 1/2 Storey,"$4,496 /yr",Detached,30,9 Rollet Drive,Toronto,Maple Leaf,"$1,599,000 ",,,,,
437,No Data,"19 (Jan 15, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",24.00 x 106 Feet,C4668782,No Data,2-Storey,No Data,Detached,48,367 Douglas Avenue,Toronto,Bedford Park-nortown,"$2,595,000 ",,,,,
438,No Data,"19 (Jan 15, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",50.00 x 121 Feet,C4668776,No Data,2-Storey,"$12,585 /yr",Detached,22,64 Highland Avenue,Toronto,Rosedale-moore Park,"$7,495,000 ",,,,,
439,New,"19 (Jan 15, 2020)","Homelife/bayview Realty Inc., Brokerage",50.00 x 120 Feet,C4668691,3500-5000 sqft,2-Storey,No Data,Detached,59,17 Bowerbank Drive,Toronto,Newtonbrook East,"$2,750,000 ",,,,,
440,6-15 years,"19 (Jan 15, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",104.15 x 294 Feet,C4668667,5000 sqft,2-Storey,"$25,306 /yr",Detached,49,39 Old Yonge Street,Toronto,Bridle Path-sunnybrook-york Mills,"$5,480,000 ",,,,,
441,No Data,"19 (Jan 15, 2020)","Re/max Realtron Barry Cohen Homes Inc., Brokerage",60.00 x 128 Feet,C4668662,No Data,Bungalow,"$9,412 /yr",Detached,54,32 Morewood Crescent,Toronto,Bayview Village,"$2,350,000 ",,,,,
442,No Data,"19 (Jan 15, 2020)","Forest Hill Real Estate Inc., Brokerage",25.00 x 90 Feet,C4668601,No Data,2-Storey,"$3,367 /yr",Detached,80,70 Bude Street,Toronto,Oakwood-vaughan,"$1,799,000 ",,,,,
443,No Data,"19 (Jan 15, 2020)","Forest Hill Real Estate Inc., Brokerage",87.01 x 196.12 Feet,C4668552,2500-3000 sqft,Bungalow,"$10,791 /yr",Detached,11,48 Forest Grove Drive,Toronto,Bayview Village,"$2,728,000 ",,,,,
444,0-5 years,"19 (Jan 15, 2020)","Forest Hill Real Estate Inc., Brokerage",62.17 x 107.75 Feet,W4668470,3500-5000 sqft,2-Storey,"$7,879 /yr",Detached,19,17 Jasmine Road,Toronto,Humberlea-pelmo Park W5,"$1,938,000 ",,,,,
445,No Data,"19 (Jan 15, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",29.00 x 134.42 Feet,C4668524,No Data,2-Storey,"$10,480 /yr",Detached,40,106 Dunblaine Avenue,Toronto,Bedford Park-nortown,"$2,575,000 ",,,,,
446,51-99 years,"19 (Jan 15, 2020)","Forest Hill Real Estate Inc., Brokerage",53.60 x 325.91 Feet,C4668506,2500-3000 sqft,2-Storey,"$15,222 /yr",Detached,32,221 Rosedale Heights Drive,Toronto,Rosedale-moore Park,"$3,499,000 ",,,,,
447,No Data,"19 (Jan 15, 2020)","Royal Lepage Signature Walker Realty, Brokerage",70.01 x 203.47 Feet,C4668478,No Data,Sidesplit 4,"$11,416 /yr",Detached,9,47 Hi Mount Drive,Toronto,Bayview Village,"$2,980,000 ",,,,,
448,6-15 years,"19 (Jan 15, 2020)","Re/max Professionals Inc., Brokerage",62.99 x 116.3 Feet,W4668446,3000-3500 sqft,2-Storey,"$11,230 /yr",Detached,37,139 Perry Crescent,Toronto,Princess-rosethorn,"$2,998,000 ",,,,,
